name,parent,LABEL,DESCRIPTION,LEAD,PARTICIPANTS,LINE,TYPE,ICON,LINK,WIDTH,HEIGHT,LINK_TYPE,LEN,POSITION2,POSITION1
0.0.00.00.00.00.00.00,,Phases,N/A; ,N/A; ,All;,black,Root,,javascript:void(0),44,15,none,6,15,-51
1.0.00.00.00.00.00.00,0.0.00.00.00.00.00.00,Team formation,Project Agreement Formation Phase 1 - Team Formation,N/A; ,All;,lightgray,Phase,,https://spl.snclavalin.com/business/BCPortal/_layouts/15/start.aspx#/,102,15,new,14,15,-111
1.1.00.00.00.00.00.00,1.0.00.00.00.00.00.00,I - Pre-RFQ,Strategic Planning & Positionning; Opportunity Assessment,N/A; ,N/A; ,lightblue,Section,,javascript:void(0),80,15,none,11,15,-88
1.1.02.00.00.00.00.00,1.1.00.00.00.00.00.00,Capital/Equity,N/A; ,2-Capital / Equity; ,N/A; ,lightblue,Division,,javascript:void(0),102,15,none,14,15,-111
1.1.02.01.00.00.00.00,1.1.02.00.00.00.00.00,Assess possible partners - NDA's,N/A; ,2-Capital / Equity; ,N/A; ,lightblue,Process,,javascript:void(0),233,15,none,32,15,-245
1.1.02.02.00.00.00.00,1.1.02.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.02.03.00.00.00.00,1.1.02.00.00.00.00.00,Equity: consortium Teaming Agreement with Commercial and Legal,N/A; ,2-Capital / Equity; ,N/A; ,lightblue,Action/Decision,,javascript:void(0),451,15,none,62,15,-468
1.1.02.04.00.00.00.00,1.1.02.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.02.05.00.00.00.00,1.1.02.00.00.00.00.00,Equity Memorandum of Understanding,N/A; ,2-Capital / Equity; ,N/A; ,lightblue,Action/Decision,,javascript:void(0),247,15,none,34,15,-260
1.1.02.06.00.00.00.00,1.1.02.00.00.00.00.00,"Retain advisors (Legal counsel, Financial Advisor)",N/A; ,2-Capital / Equity; ,N/A; ,lightblue,Action/Decision,,javascript:void(0),364,15,none,50,15,-379
1.1.03.00.00.00.00.00,1.1.00.00.00.00.00.00,Bus. Dev.,N/A; ,3-Business Development; ,N/A; ,lightblue,Division,,javascript:void(0),65,15,none,9,15,-74
1.1.03.01.00.00.00.00,1.1.03.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.03.02.00.00.00.00,1.1.03.00.00.00.00.00,Strategic Pursuit Commitee - 2nd Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.03.03.00.00.00.00,1.1.03.00.00.00.00.00,Assessment of resources required to execute the project,N/A; ,3-Business Development; ,1-Leadership; 4-Commercial; 14-Human Ressources; 17-Construction & Project Management; 19-Finance; ,lightblue,Process,,javascript:void(0),400,15,none,55,15,-416
1.1.04.00.00.00.00.00,1.1.00.00.00.00.00.00,Commercial,N/A; ,4-Commercial; ,N/A; ,lightblue,Division,,javascript:void(0),73,15,none,10,15,-81
1.1.04.01.00.00.00.00,1.1.04.00.00.00.00.00,Strategic Pursuit Commitee - 1st Meeting,N/A; ,3-Business Development; ,1-Leadership; 2-Capital / Equity; 4-Commercial; 5-Legal; 6-Pre-Construction / Bid Team; 8-Project Controls; 11-Procurement; 12-Risk Management; 17-Construction & Project Management; 19-Finance; ,lightblue,Meeting,,javascript:void(0),291,15,none,40,15,-304
1.1.04.02.00.00.00.00,1.1.04.00.00.00.00.00,"""Document Preparation - DB, DE, O&M""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Header,,javascript:void(0),262,15,none,36,15,-275
1.1.04.02.01.00.00.00,1.1.04.02.00.00.00.00,"""Design-Build (DB): MOA, TA,TS,CA(DE & Subs), EA (DE & Subs)""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Document Preparation,,javascript:void(0),443,15,none,61,15,-461
1.1.04.02.02.00.00.00,1.1.04.02.00.00.00.00,"""Design Engineer (DE): MOA, TA TS, CA Subconsultants (SC), EA SC""",N/A; ,4-Commercial; 5-Legal; ,2-Capital / Equity; ,lightblue,Document Preparation,,javascript:void(0),473,15,none,65,15,-491
